,iteration,posterior,mhr,no_admixes,tree_identifier,average_branch_length,total_branch_length,tree_identifier_new_tree,backward_choices,backward_density,forward_density,forward_choices,proposal_type,prior,branch_prior,no_admix_prior,top_prior,origin,layer
0,0,-4.93453235133,1.5,0,c.0.w-c.0,0.785693220526,3.1427728821,w.c.1-c.0,,,,,regraft,-4.93453235133,-3.1427728821,-0.69314718056,-1.09861228867,1,1
1,1,-4.93453235133,0.0395061728395,0,w.c.1-c.0,0.466646879737,3.26652815816,w.w.a-c.c.1.0-c.0,2.0,1,3.9761822319045783,16.0,addadmix,-8.86495011716,-3.26652815816,-1.38629436112,-4.21212759788,1,1
2,2,-4.93453235133,1.0,0,w.c.1-c.0,0.785693220526,3.1427728821,w.c.1-c.0,,,,,deladmix,-4.93453235133,-3.1427728821,-0.69314718056,-1.09861228867,1,1
3,3,-4.93453235133,1.0,0,w.c.1-c.0,0.785693220526,3.1427728821,w.c.1-c.0,,,,,regraft,-4.93453235133,-3.1427728821,-0.69314718056,-1.09861228867,1,1
4,4,-4.93453235133,1.0,0,w.c.1-c.0,0.785693220526,3.1427728821,w.c.1-c.0,,,,,deladmix,-4.93453235133,-3.1427728821,-0.69314718056,-1.09861228867,1,1
5,5,-4.94465874686,0.989924703781,0,w.c.1-c.0,0.788224819409,3.15289927764,w.c.1-c.0,,,,,rescale,-4.94465874686,-3.15289927764,-0.69314718056,-1.09861228867,1,1
6,6,-4.94465874686,0.0461871745711,0,w.c.1-c.0,0.527835474574,3.69484832202,w.w.a-w.c.1.w-w.c.1-c.0,2.0,1,2.238672673247935,16.0,addadmix,-9.29327028101,-3.69484832202,-1.38629436112,-4.21212759788,1,1
7,7,-4.9713427322,0.97366888656,0,w.c.1-c.0,0.794895815742,3.17958326297,w.c.1-c.0,,,,,rescale,-4.9713427322,-3.17958326297,-0.69314718056,-1.09861228867,1,1
8,8,-4.9713427322,0.047714124235,0,w.c.1-c.0,0.718833409749,5.03183386824,w.w.a-w.c.1.w-w.c.1-c.0,2.0,1,0.58453201047616143,16.0,addadmix,-10.6302558272,-5.03183386824,-1.38629436112,-4.21212759788,1,1
9,9,-4.9713427322,1.0,0,w.c.1-c.0,0.794895815742,3.17958326297,w.c.1-c.0,,,,,regraft,-4.9713427322,-3.17958326297,-0.69314718056,-1.09861228867,1,1
10,10,-4.9713427322,0.410153896332,0,w.c.1-c.0,0.927840279627,3.71136111851,c.w.0-c.0,,,,,regraft,-5.50312058774,-3.71136111851,-0.69314718056,-1.09861228867,1,1
11,11,-4.9713427322,1.0,0,w.c.1-c.0,0.794895815742,3.17958326297,w.c.1-c.0,,,,,deladmix,-4.9713427322,-3.17958326297,-0.69314718056,-1.09861228867,1,1
12,12,-4.97943583639,0.99193955681,0,w.c.1-c.0,0.79691909179,3.18767636716,w.c.1-c.0,,,,,rescale,-4.97943583639,-3.18767636716,-0.69314718056,-1.09861228867,1,1
13,13,-9.17975976157,0.463629686873,0,w.c.1-c.0,1.84700007308,7.38800029234,c.0.w-c.0,,,,,regraft,-9.17975976157,-7.38800029234,-0.69314718056,-1.09861228867,1,1
14,14,-9.17647596074,1.0,0,c.0.w-c.0,1.84617912288,7.38471649151,c.0.w-c.0,,,,,regraft,-9.17647596074,-7.38471649151,-0.69314718056,-1.09861228867,1,1
15,15,-9.17647596074,1.0,0,c.0.w-c.0,1.84617912288,7.38471649151,c.0.w-c.0,,,,,deladmix,-9.17647596074,-7.38471649151,-0.69314718056,-1.09861228867,1,1
16,16,-9.17647596074,1.0,0,c.0.w-c.0,1.84617912288,7.38471649151,c.0.w-c.0,,,,,deladmix,-9.17647596074,-7.38471649151,-0.69314718056,-1.09861228867,1,1
17,17,-9.17647596074,0.265107655655,0,c.0.w-c.0,1.15083379043,8.05583653303,a.w.w-c.0.w.w-c.w.0-c.0,2.0,1,0.34276105683780494,16.0,addadmix,-13.654258492,-8.05583653303,-1.38629436112,-4.21212759788,1,1
18,18,-9.17647596074,1.0,0,c.0.w-c.0,1.84617912288,7.38471649151,c.0.w-c.0,,,,,regraft,-9.17647596074,-7.38471649151,-0.69314718056,-1.09861228867,1,1
