pops,string_tree,no_admixes,topology
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.002586817-0.077780913-0.001668333-0.050026384-0.031787628-0.017594094-0.056015726;0.459,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.004636805-0.078315185-0.010039090-0.050147478-0.015929088-0.018018536-0.056317524;0.47,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.008562005-0.078855639-0.006021096-0.047009858-0.009771328-0.015077858-0.054094168;0.503,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.007277786-0.082180742-0.011910298-0.049329117-0.011579607-0.013498614-0.054162140;0.488,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.005923933-0.080154308-0.016084915-0.050975518-0.004653579-0.013086728-0.054226377;0.445,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.003572577-0.082013137-0.001507196-0.052032686-0.029283782-0.012312095-0.058019620;0.51,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.001006710-0.086374359-0.006249253-0.049384417-0.033184932-0.009982993-0.056345258;0.474,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.001192254-0.083762858-0.006438865-0.048944158-0.033138532-0.008625100-0.054619379;0.508,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.002905253-0.082496734-0.024885019-0.048602637-0.006029935-0.013080171-0.056736561;0.497,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.006818787-0.082997030-0.007093699-0.048918397-0.008279696-0.011572493-0.057020700;0.502,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.005806695-0.082997030-0.001837049-0.048918397-0.015765606-0.011572493-0.056848776;0.486,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.007993719-0.081778732-0.007083932-0.047640010-0.004392537-0.013094773-0.056797189;0.488,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.000756597-0.082910469-0.025415113-0.048632889-0.017974730-0.014574838-0.055759730;0.5,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.001829455-0.084237913-0.029677698-0.048268808-0.010814012-0.013234487-0.054621614;0.495,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.004936648-0.082360061-0.016513656-0.049230155-0.013095464-0.013493133-0.058189652;0.467,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.004008037-0.081021411-0.041430532-0.049475427-0.004506373-0.013878285-0.057695631;0.494,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.001068852-0.083317548-0.039563277-0.048711829-0.005251786-0.012480434-0.058203484;0.452,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.007303412-0.083317548-0.019197448-0.048711829-0.001791957-0.012480434-0.058203484;0.473,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.000892268-0.082639514-0.027308380-0.050896378-0.016501144-0.014549733-0.056871619;0.451,1,w.a.w-c.0.c.2-c.0
