,add,admixtures,average_branch_length,average_root,descendant_sets,ghost_pops,iteration,likelihood,max_root,mhr,min_root,no_admixes,posterior,prior,proposal_type,rescale_adap_param,rescale_add_adap_param,rescale_admixtures_adap_param,rescale_constrained_adap_param,sliding_regraft_adap_param,total_branch_length,tree,origin,layer
0,0.0,;,0.03359418017669876,0.06718836035339751,s1-s1.s2.s3-s1.s2.s3.s4-s2-s2.s3-s3-s4,0,0,-1389.256827308971,0.06718836035339751,1.0,0.06718836035339751,0,-1394.908024213796,-5.651196904824884,rescale_constrained,,,,0.1,,0.20156508106019255,w.c.1.w-c.0.w-c.0;0.022396120-0.022396120-0.044792240-0.022396120-0.022396120-0.067188360;,0,0
1,0.3007600795395742,x3b;0.196,0.023940591404562832,0.0700340223971369,s1-s1.s2.s3-s1.s2.s3.s4-s2-s2.s3-s2.s4-s3-s4,0,40,-907.9402883725725,0.07781158244107005,0.0,0.06889407609335722,1,-921.0024634525528,-13.062175079980358,rescale_constrained,,,,0.35015786852257613,,0.2154653226410655,w.a.w.w-w.c.c.1.2-c.w.0-c.0;0.005300279-0.005702605-0.024008960-0.004114892-0.017957168-0.045936090-0.022649511-0.022987119-0.066808699;0.196,0,0
0,0.0,;,0.03359418017669876,0.06718836035339751,s1-s1.s2.s3-s1.s2.s3.s4-s2-s2.s3-s3-s4,0,0,-1389.256827308971,0.06718836035339751,1.0,0.06718836035339751,0,-1394.908024213796,-5.651196904824884,rescale_constrained,,,,0.1,,0.20156508106019255,w.c.1.w-c.0.w-c.0;0.022396120-0.022396120-0.044792240-0.022396120-0.022396120-0.067188360;,0,0
1,0.3007600795395742,x3b;0.196,0.023940591404562832,0.0700340223971369,s1-s1.s2.s3-s1.s2.s3.s4-s2-s2.s3-s2.s4-s3-s4,0,40,-907.9402883725725,0.07781158244107005,0.0,0.06889407609335722,1,-921.0024634525528,-13.062175079980358,rescale_constrained,,,,0.35015786852257613,,0.2154653226410655,w.a.w.w-w.c.c.1.2-c.w.0-c.0;0.005300279-0.005702605-0.024008960-0.004114892-0.017957168-0.045936090-0.022649511-0.022987119-0.066808699;0.196,0,0
0,0.24325097255652633,x9b-x20b;0.376-0.153,0.045513104681529144,0.08946616669113136,s1-s1.s2.s3-s1.s2.s3.s4-s2-s2.s3-s3-s4,1,80,-31.74895827767068,0.22988170499040853,0.0,0.03375535183523723,2,-55.237489333329606,-23.48853105565892,rescale_constrained,,,,0.11927086597185294,,0.5461572561783498,w.w.a.w-w.w.a.w.w-w.w.c.w.2.w-w.c.1.w.w-c.0.w.w-c.w.0-c.0;0.001289504-0.004632105-0.006594986-0.102409283-0.004007002-0.001135268-0.102096440-0.016489086-0.013226839-0.223927671-0.000032425-0.070316647;0.153-0.376,2,0
0,0.23916470717641475,x9b-x20b;0.376-0.153,0.04551310468152916,0.08946646935477491,s1-s1.s2.s3-s1.s2.s3.s4-s2-s2.s3-s3-s3.s4-s4,1,120,-32.48508716107426,0.22990559146229644,5.331933230898805e-31,0.03375535183523722,2,-55.96953195135307,-23.484444790278808,rescale_add,,0.166478951733444,,,,0.5461572561783499,w.w.a.w-w.w.a.w.w-w.w.c.c.2.3-w.c.1.w-c.0.w-c.0;0.001289504-0.004632105-0.006594986-0.070260336-0.102409283-0.223927671-0.004008179-0.001135268-0.102096440-0.016487910-0.013259264-0.000056311;0.153-0.376,2,0
0,0.22442348224606234,x2b;0.561,0.034980625433153494,0.08426587864276425,s1-s1.s2-s1.s2.s3.s4-s1.s2.s4-s2-s2.s3-s3-s4,0,160,-12.47706357876632,0.09597410891751518,0.9678569149967027,0.056991828230181237,1,-26.202318127976447,-13.72525454921013,rescale_constrained,,,,0.07601449830686653,,0.31482562889838145,w.a.w.w-c.0.c.w.2-c.w.0-c.0;0.000879699-0.078198300-0.039357601-0.031582183-0.010368253-0.009088644-0.073293139-0.007665884-0.064391926;0.561,3,0
0,0.27168503055517984,x2b;0.544,0.03514555219457006,0.08678241957719166,s1-s1.s2-s1.s2.s3.s4-s1.s2.s4-s2-s2.s3-s3-s4,0,200,5.359681814801661,0.09997027509127704,2.77066561300182e-05,0.05463778793941159,1,-8.423880398778028,-13.783562213579689,rescale_admixtures,,,0.20634260251022754,,,0.3163099697511305,w.a.w.w-c.0.c.w.2-c.w.0-c.0;0.007893847-0.076891833-0.025213063-0.033197898-0.011050672-0.015376437-0.073759402-0.006154440-0.066772377;0.544,3,0
1,0.27168503055517973,x2b;0.550,0.036035046788181105,0.08660299136561289,s1-s1.s2-s1.s2.s3.s4-s1.s2.s4-s2-s2.s3-s3-s4,0,240,14.009610953953597,0.10348576674609004,0.0,0.044740394534507226,1,0.16647405139212168,-13.843136902561476,rescale,0.10136019572644438,,,,,0.32431542109362993,w.a.w.w-c.0.c.w.2-c.w.0-c.0;0.007622840-0.087423600-0.021055388-0.036829852-0.013906467-0.015079116-0.076116244-0.000983051-0.065298863;0.550,3,0
0,0.28324865387684994,x2b;0.507,0.037374177189314656,0.08780023734702877,s1-s1.s2-s1.s2.s3.s4-s1.s2.s4-s2-s2.s3-s3-s4,0,280,13.252948055049274,0.10348576674609002,1.0323332668322627e-95,0.06643444777887934,1,-0.6914419166456902,-13.944389971694964,addadmix,,,,,,0.3363675947038319,w.a.w.w-c.0.c.w.2-c.w.0-c.0;0.001038350-0.087423600-0.049333931-0.036829852-0.004264587-0.015079116-0.076116244-0.000983051-0.065298863;0.507,3,0
